N;n_periods;DGP;AR_error;NA_data;lambda_low;lambda_high;M
50;50;1;FALSE;FALSE;0.1;50;3
100;50;1;FALSE;FALSE;0.1;50;3
50;100;1;FALSE;FALSE;0.1;50;3
100;100;1;FALSE;FALSE;0.1;50;3
50;50;1;TRUE;FALSE;0.1;20;2
100;50;1;TRUE;FALSE;0.1;20;2
50;100;1;TRUE;FALSE;0.1;20;2
100;100;1;TRUE;FALSE;0.1;20;2
50;50;1;FALSE;TRUE;0.1;10;1
100;50;1;FALSE;TRUE;0.1;10;1
50;100;1;FALSE;TRUE;0.1;10;1
100;100;1;FALSE;TRUE;0.1;10;1
50;50;2;FALSE;FALSE;10;35;1
100;50;2;FALSE;FALSE;10;35;1
50;100;2;FALSE;FALSE;1;20;1
100;100;2;FALSE;FALSE;1;20;1
50;50;2;TRUE;FALSE;30;75;1
100;50;2;TRUE;FALSE;25;65;1
50;100;2;TRUE;FALSE;8;25;1
100;100;2;TRUE;FALSE;18;37;1
50;50;2;FALSE;TRUE;15;47;1
100;50;2;FALSE;TRUE;10;30;1
50;100;2;FALSE;TRUE;10;60;1
100;100;2;FALSE;TRUE;10;60;1
50;50;3;FALSE;FALSE;0.01;15;1
100;50;3;FALSE;FALSE;0.01;15;1
50;100;3;FALSE;FALSE;0.01;15;1
100;100;3;FALSE;FALSE;0.01;15;1
50;50;3;TRUE;FALSE;0.1;20;1
100;50;3;TRUE;FALSE;4;20;1
50;100;3;TRUE;FALSE;0.1;20;1
100;100;3;TRUE;FALSE;0.1;8;1
50;50;3;FALSE;TRUE;0.1;20;1
100;50;3;FALSE;TRUE;5;25;1
50;100;3;FALSE;TRUE;0.1;20;1
100;100;3;FALSE;TRUE;0.1;9;1
